Waktu,Tanggal,Jam,Latar Tempat,Objek Terdeteksi,Ekspresi,Kelamin,Keterangan,Foto
2025-11-07 10:06:25,2025-11-07,10:06:25,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100625.jpg
2025-11-07 10:06:30,2025-11-07,10:06:30,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100630.jpg
2025-11-07 10:06:36,2025-11-07,10:06:36,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100636.jpg
2025-11-07 10:06:41,2025-11-07,10:06:41,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100641.jpg
2025-11-07 10:06:43,2025-11-07,10:06:43,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100643.jpg
2025-11-07 10:06:49,2025-11-07,10:06:49,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100649.jpg
2025-11-07 10:06:55,2025-11-07,10:06:55,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100655.jpg
2025-11-07 10:07:01,2025-11-07,10:07:01,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100701.jpg
2025-11-07 10:07:07,2025-11-07,10:07:07,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100707.jpg
2025-11-07 10:07:09,2025-11-07,10:07:09,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100709.jpg
2025-11-07 10:07:14,2025-11-07,10:07:14,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100714.jpg
2025-11-07 10:07:20,2025-11-07,10:07:20,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100720.jpg
2025-11-07 10:07:27,2025-11-07,10:07:27,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100727.jpg
2025-11-07 10:07:33,2025-11-07,10:07:33,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100733.jpg
2025-11-07 10:07:38,2025-11-07,10:07:38,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100738.jpg
2025-11-07 10:07:42,2025-11-07,10:07:42,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_100742.jpg
2025-11-07 10:07:44,2025-11-07,10:07:44,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100744.jpg
2025-11-07 10:07:50,2025-11-07,10:07:50,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100750.jpg
2025-11-07 10:07:58,2025-11-07,10:07:58,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100758.jpg
2025-11-07 10:08:03,2025-11-07,10:08:03,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100803.jpg
2025-11-07 10:08:10,2025-11-07,10:08:10,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100810.jpg
2025-11-07 10:08:15,2025-11-07,10:08:15,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100815.jpg
2025-11-07 10:08:21,2025-11-07,10:08:21,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100821.jpg
2025-11-07 10:08:28,2025-11-07,10:08:28,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100828.jpg
2025-11-07 10:08:35,2025-11-07,10:08:35,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100835.jpg
2025-11-07 10:08:41,2025-11-07,10:08:41,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100841.jpg
2025-11-07 10:08:47,2025-11-07,10:08:47,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100847.jpg
2025-11-07 10:08:53,2025-11-07,10:08:53,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100853.jpg
2025-11-07 10:08:59,2025-11-07,10:08:59,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100859.jpg
2025-11-07 10:09:07,2025-11-07,10:09:07,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100907.jpg
2025-11-07 10:09:13,2025-11-07,10:09:13,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100913.jpg
2025-11-07 10:09:20,2025-11-07,10:09:20,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100920.jpg
2025-11-07 10:09:26,2025-11-07,10:09:26,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100926.jpg
2025-11-07 10:09:33,2025-11-07,10:09:33,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100933.jpg
2025-11-07 10:09:39,2025-11-07,10:09:39,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100939.jpg
2025-11-07 10:09:45,2025-11-07,10:09:45,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100945.jpg
2025-11-07 10:09:48,2025-11-07,10:09:48,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100948.jpg
2025-11-07 10:09:54,2025-11-07,10:09:54,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_100954.jpg
2025-11-07 10:09:58,2025-11-07,10:09:58,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_100958.jpg
2025-11-07 10:16:04,2025-11-07,10:16:04,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_101604.jpg
2025-11-07 10:16:14,2025-11-07,10:16:14,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_101614.jpg
2025-11-07 10:16:19,2025-11-07,10:16:19,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_101619.jpg
2025-11-07 10:16:22,2025-11-07,10:16:22,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_101622.jpg
2025-11-07 10:16:28,2025-11-07,10:16:28,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_101628.jpg
2025-11-07 10:16:35,2025-11-07,10:16:35,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_101635.jpg
2025-11-07 10:21:22,2025-11-07,10:21:22,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_102122.jpg
2025-11-07 10:21:39,2025-11-07,10:21:39,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_102139.jpg
2025-11-07 10:44:25,2025-11-07,10:44:25,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104425.jpg
2025-11-07 10:44:27,2025-11-07,10:44:27,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_104427.jpg
